"M/Z","Intensity","Ret Time","Intensity Relative to Standard","Match MW","ppm Err","Parent formula","DBE","Match Type"
236.0836,454000.0,nan,nan,236.08373,-0.551,"C16H12O2",11.0,"same"
238.101,469000.0,nan,nan,238.09938,6.804,"C16H14O2",10.0,"same"
248.0833,1050000.0,nan,nan,248.08373,-1.733,"C17H12O2",12.0,"same"
249.0887,361000.0,nan,nan,248.08373,-1.733,"C17H12O2",12.0,"same"
264.115,606000.0,nan,nan,264.11503,-0.114,"C18H16O2",11.0,"same"
266.0919,283000.0,nan,nan,266.09429,-8.982,"C17H14O3",11.0,"same"
268.1119,947000.0,nan,nan,268.10994,7.31,"C17H16O3",10.0,"same"
272.1028,371000.0,nan,nan,272.10486,-7.571,"C16H16O4",9.0,"same"
280.1073,396000.0,nan,nan,280.10994,-9.425,"C18H16O3",11.0,"same"
284.1053,901000.0,nan,nan,284.10486,1.549,"C17H16O4",10.0,"same"
286.1185,352000.0,nan,nan,286.12051,-7.025,"C17H18O4",9.0,"same"
300.138,279000.0,nan,nan,300.13616,6.131,"C18H20O4",9.0,"same"
