"source file","M/Z","Intensity","Ret Time","Intensity Relative to Standard","Closest matched MW","Error (ppm) to closest MW match","Closest match Type","Closest matched formula","Closest matched formula DBE","Molecular ion matching MWs","Molecular ion matching chemical formulas","Molecular ion matching SMILES","Molecular ion matching chemical names","Deprotonated matching MWs","Deprotonated matching chemical formulas","Deprotonated matching SMILES","Deprotonated matching chemical names","Protonated matching MWs","Protonated matching chemical formulas","Protonated matching SMILES","Protonated matching chemical names"
"DIMER_27_362DA_APPI_363HCD20.csv",179.0882,353000.0,nan,nan,180.04226,-5299.089,"same","C9H8O4",6.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",207.0774,585000.0,nan,nan,208.03717,-4613.454,"same","C10H8O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",207.0837,1280000.0,nan,nan,208.03717,-4583.171,"same","C10H8O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",207.09,487000.0,nan,nan,208.03717,-4552.888,"same","C10H8O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",207.1151,273000.0,nan,nan,208.03717,-4432.237,"same","C10H8O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",207.1214,435000.0,nan,nan,208.03717,-4401.954,"same","C10H8O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",209.0998,325000.0,nan,nan,210.05282,-4537.049,"same","C10H10O5",6.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",211.0749,335000.0,nan,nan,210.19837,4170.013,"same","C14H26O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",211.0812,346000.0,nan,nan,210.19837,4199.985,"same","C14H26O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",220.0906,571000.0,nan,nan,220.07356,77.429,"same","C12H12O4",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",220.0971,307000.0,nan,nan,220.10994,-58.334,"same","C13H16O3",6.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",221.0961,325000.0,nan,nan,222.05282,-4308.524,"same","C11H10O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",224.0804,290000.0,nan,nan,224.08373,-14.861,"same","C15H12O2",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",224.0869,484000.0,nan,nan,224.08373,14.146,"same","C15H12O2",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",225.0883,391000.0,nan,nan,224.21402,3899.31,"same","C15H28O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",225.0949,615000.0,nan,nan,224.21402,3928.746,"same","C15H28O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.0713,742000.0,nan,nan,234.14085,3973.89,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.078,2000000.0,nan,nan,234.14085,4002.505,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.0847,746000.0,nan,nan,234.14085,4031.121,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.0914,1440000.0,nan,nan,234.14085,4059.736,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.0981,1880000.0,nan,nan,234.14085,4088.351,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.1048,665000.0,nan,nan,236.06847,-4082.163,"same","C12H12O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.1115,1280000.0,nan,nan,236.06847,-4053.782,"same","C12H12O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",235.1182,1690000.0,nan,nan,236.06847,-4025.4,"same","C12H12O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",236.0836,454000.0,nan,nan,236.08373,-0.551,"same","C16H12O2",11.0,"(236.08373, -0.6)","('C16H12O2', 11.0)","{'CC1=CC=CC(C2=CC3=CC=COC3=CC2=O)=C1', 'CC1=CC=C(O)C(C2=CC3=CC=CC3=CC2=O)=C1', 'C=CC1=CC=C2OC(C3=CC=C(O)C=C3)=CC2=C1'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",236.1171,350000.0,nan,nan,236.10486,51.841,"same","C13H16O4",6.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",236.1238,274000.0,nan,nan,236.10486,80.219,"same","C13H16O4",6.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",237.0912,611000.0,nan,nan,236.2504,3558.936,"same","C17H32",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",237.0979,561000.0,nan,nan,236.2504,3587.296,"same","C17H32",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",238.101,469000.0,nan,nan,238.09938,6.804,"same","C16H14O2",10.0,"(238.09938, 6.8)","('C16H14O2', 10.0)","{'C=CC1=CC2=C(C=C1)OC(C1=CC=C(O)C=C1)C2', 'CCC1=CC2=C(C=C1)OC(=C1C=CC(=O)C=C1)C2'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.0657,318000.0,nan,nan,238.22967,3509.345,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.0725,688000.0,nan,nan,238.22967,3537.888,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.0792,297000.0,nan,nan,238.22967,3566.013,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.086,409000.0,nan,nan,238.22967,3594.556,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.0928,710000.0,nan,nan,238.22967,3623.1,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.0995,528000.0,nan,nan,238.22967,3651.224,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.1063,1030000.0,nan,nan,238.22967,3679.768,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",239.113,1130000.0,nan,nan,238.22967,3707.892,"same","C16H30O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",241.0891,325000.0,nan,nan,240.2817,3360.223,"same","C17H36",0.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",248.0833,1050000.0,nan,nan,248.08373,-1.733,"same","C17H12O2",12.0,"(248.08373, -1.7)","('C17H12O2', 12.0)","{'C=CC1=CC=C(O)C(C2=CC3=CC=CC3=CC2=O)=C1', 'C=CC1=CC=CC(C2=CC3=CC=COC3=CC2=O)=C1'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",248.0902,1040000.0,nan,nan,248.08373,26.08,"same","C17H12O2",12.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",249.0887,361000.0,nan,nan,248.08373,-4034.586876080633,"same","C17H12O2*",12.0,"(248.08373, -1.7)","('C17H12O2', 12.0)","{'C=CC1=CC=C(O)C(C2=CC3=CC=CC3=CC2=O)=C1', 'C=CC1=CC=CC(C2=CC3=CC=COC3=CC2=O)=C1'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",249.0956,394000.0,nan,nan,248.1565,3784.305,"same","C19H20",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",252.0754,351000.0,nan,nan,252.07864,-12.853,"same","C16H12O3",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",252.0823,577000.0,nan,nan,252.07864,14.519,"same","C16H12O3",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",252.0893,316000.0,nan,nan,252.09977,-41.531,"same","C13H16O5",6.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",253.0818,330000.0,nan,nan,252.24532,3316.137,"same","C17H32O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",253.0888,706000.0,nan,nan,252.24532,3343.888,"same","C17H32O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",253.0957,405000.0,nan,nan,252.24532,3371.242,"same","C17H32O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",254.0903,290000.0,nan,nan,254.09429,-15.703,"same","C16H14O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",254.0973,462000.0,nan,nan,254.09429,11.846,"same","C16H14O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",257.0788,356000.0,nan,nan,256.14633,3640.38,"same","C17H20O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",257.0858,546000.0,nan,nan,256.14633,3667.708,"same","C17H20O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",263.1009,395000.0,nan,nan,262.17215,3542.52,"same","C20H22",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",263.108,2500000.0,nan,nan,262.17215,3569.601,"same","C20H22",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",263.1151,1800000.0,nan,nan,262.17215,3596.683,"same","C20H22",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",264.1078,296000.0,nan,nan,264.11503,-27.374,"same","C18H16O2",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",264.115,606000.0,nan,nan,264.11503,-0.114,"same","C18H16O2",11.0,"(264.11503, -0.1)","('C18H16O2', 11.0)","{'CC(=CC1=CC=C(O)C=C1)C1=C(O)C=CC2=C1C=CC2', 'C1=C2C(C3=CC=CC=C3)OCC2C(C2=CC=CC=C2)O1', 'C1=CC=C(C2=C3COC(C4=CC=CC=C4)C3CO2)C=C1', 'CC1C(=C2C=CC(=O)C=C2)OC2=C1C=C1CCCC1=C2'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",264.122,291000.0,nan,nan,264.11503,26.39,"same","C18H16O2",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",265.0883,306000.0,nan,nan,264.2817,3052.046,"same","C19H36",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",266.0919,283000.0,nan,nan,266.09429,-8.982,"same","C17H14O3",11.0,"(266.09429, -9.0)","('C17H14O3', 11.0)","{'COC1=CC(C2=C(O)C=CC(C)=C2)=CC2=C1C(=O)C=C2', 'COC1=CC=CC(C2=CC3=C(C(=O)C=C3)C(OC)=C2)=C1', 'OC1=CC=C(C2CC3=C(C=C4OCC=CC4=C3)O2)C=C1'}","[{'postulated structure'}, {'postulated structure'}, {'8-methoxynaphthalene-1,7-diol'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",266.099,384000.0,nan,nan,266.09429,17.7,"same","C17H14O3",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",267.0974,1170000.0,nan,nan,266.26097,3141.392,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",267.1045,5460000.0,nan,nan,266.26097,3168.057,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",267.1116,2660000.0,nan,nan,266.26097,3194.723,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",267.1188,441000.0,nan,nan,266.26097,3221.764,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",268.1047,718000.0,nan,nan,268.10994,-19.544,"same","C17H16O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",268.1119,947000.0,nan,nan,268.10994,7.31,"same","C17H16O3",10.0,"(268.10994, 7.3)","('C17H16O3', 10.0)","{'OCC=CC1=CC2=C(C=C1)OC(C1=CC=C(O)C=C1)C2', 'OC1=CC=C(C2CC3=C(C=C4OCCCC4=C3)O2)C=C1', 'C=CC1=CC2=C(C=C1)OC(C1=CC=C(O)C(OC)=C1)C2'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",268.119,337000.0,nan,nan,268.10994,33.792,"same","C17H16O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",271.0951,1470000.0,nan,nan,272.03209,-3444.41,"same","C14H8O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",271.1023,2380000.0,nan,nan,272.03209,-3417.942,"same","C14H8O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",271.1095,554000.0,nan,nan,272.03209,-3391.475,"same","C14H8O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",272.1028,371000.0,nan,nan,272.10486,-7.571,"same","C16H16O4",9.0,"(272.10486, -7.6)","('C16H16O4', 9.0)","{'COC1=CC(C=O)=CC(OC2=CC=C(C)C=C2OC)=C1', 'COC1=CC(=CCOC2=C(OC)C=CC=C2)C=CC1=O', 'OC(=CCC(O)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1', 'C=CC1=CC(OC2=C(OC)C=CC=C2)=C(O)C(OC)=C1', 'COC1=CC=CC(C(O)=C(CO)OC2=CC=CC=C2)=C1', 'COC1=CC(C2CC3=CC=CC(OC)=C3O2)=CC=C1O', 'COC(=CC1=CC=C(O)C=C1)C1=CC(OC)=C(O)C=C1', 'COC1=C(OC(=CC2=CC=C(O)C=C2)CO)C=CC=C1', 'COC1=CC(C=COC2=C(OC)C=CC=C2)=CC=C1O', 'COC1=C(O)C=CC(C=C(C)C2=CC(O)=C(O)C=C2)=C1', 'COC1=C(OC(C)C(=O)C2=CC=C(O)C=C2)C=CC=C1', 'COC1=C(O)C=CC(C=CC2=CC=C(O)C(OC)=C2)=C1', 'COC1=C(O)C=CC(C=CC2=CC(OC)=C(O)C=C2)=C1', 'COC1=C(O)C=CC(C(=O)C(OC)C2=CC=CC=C2)=C1', 'COC(=C(O)C1=CC(OC)=C(O)C=C1)C1=CC=CC=C1'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'2-methoxy-4-(7-methoxy-2,3-dihydro-1-benzofuran-2-yl)phenol'}, {'postulated structure'}, {'postulated structure'}, {'2-methoxy-4-[2-(2-methoxyphenoxy)ethenyl]phenol'}, {'postulated structure'}, {'1-(4-hydroxyphenyl)-2-(2-methoxyphenoxy)propan-1-one'}, {'postulated structure'}, {'4-[2-(4-hydroxy-3-methoxyphenyl)ethenyl]-2-methoxyphenol'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",280.1073,396000.0,nan,nan,280.10994,-9.425,"same","C18H16O3",11.0,"(280.10994, -9.4)","('C18H16O3', 11.0)","{'OC1=CC=C(C2OCC3C2=COC3C2=CC=CC=C2)C=C1', 'OC1=CC=C(C2OCC3=C(C4=CC=CC=C4)OCC32)C=C1', 'COC1=CC(C2CC3=C(C=C4OCC=CC4=C3)O2)=CC=C1', 'CC=CC1=CC=C(OC2=C(O)C=CC(C=CC=O)=C2)C=C1', 'COC1=C2OCC=CC2=CC2=C1OC(C1=CC=CC=C1)C2'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",280.1146,621000.0,nan,nan,280.10994,16.636,"same","C18H16O3",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",281.117,628000.0,nan,nan,280.27662,2998.395,"same","C19H36O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",281.1243,590000.0,nan,nan,280.27662,3024.441,"same","C19H36O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",283.0976,934000.0,nan,nan,282.32865,2723.599,"same","C20H42",0.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",283.1049,833000.0,nan,nan,282.32865,2749.455,"same","C20H42",0.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",284.1053,901000.0,nan,nan,284.10486,1.549,"same","C17H16O4",10.0,"(284.10486, 1.5)","('C17H16O4', 10.0)","{'C=CC1=CC(OC)=C(OC2=CC(=C)C=C(OC)C2=O)C=C1', 'C=CC1=CC(O)=C(O)C(C2=CC(C=CC)=CC(O)=C2O)=C1', 'C=CC1=C(O)C(OC=CC2=CC(OC)=C(O)C=C2)=CC=C1', 'COC1=CC=CC(C=C(C=O)C2=CC(OC)=C(O)C=C2)=C1'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",284.1126,654000.0,nan,nan,284.10486,27.243,"same","C17H16O4",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",285.1147,476000.0,nan,nan,286.04774,-3261.833,"same","C15H10O6",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",286.1185,352000.0,nan,nan,286.12051,-7.025,"same","C17H18O4",9.0,"(286.12051, -7.0)","('C17H18O4', 9.0)","{'COC1=CC(C=C(C)OC2=C(OC)C=CC=C2)=CC=C1O', 'C=CCC1=CC(C2=CC=CC(OC)=C2O)=C(O)C(OC)=C1', 'C=CC1=CC(OC2=C(OC)C=C(C)C=C2)=C(O)C(OC)=C1', 'COC1=C(O)C=CC(C=C(C)C2=CC(OC)=C(O)C=C2)=C1', 'OC1=CC=CC(C2CC(CC3=CC(O)=C(O)C=C3)CO2)=C1', 'COC1=CC(OC)=CC(C=CC2=CC(OC)=C(O)C=C2)=C1', 'COC1=CC(C=COC2=CC=C(C)C=C2OC)=CC=C1O', 'COC1=CC=CC(C(O)=C(C)OC2=CC=CC=C2OC)=C1', 'C=CC1=CC(OC)=C(OC2=C(O)C(OC)=CC(C)=C2)C=C1', 'COC1=C(O)C=CC(C=C(C)OC2=C(OC)C=CC=C2)=C1'}","[{'2-methoxy-4-[2-(2-methoxyphenoxy)prop-1-enyl]phenol'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'4-[2-(3,5-dimethoxyphenyl)ethenyl]-2-methoxyphenol'}, {'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'2-methoxy-4-[2-(2-methoxyphenoxy)prop-1-enyl]phenol'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",286.1259,398000.0,nan,nan,286.12051,18.838,"same","C17H18O4",9.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",295.1349,750000.0,nan,nan,294.29227,2863.242,"same","C20H38O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",295.1424,528000.0,nan,nan,294.29227,2888.727,"same","C20H38O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",299.125,858000.0,nan,nan,298.19328,3124.551,"same","C20H26O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",299.1325,1970000.0,nan,nan,298.19328,3149.702,"same","C20H26O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",299.1401,656000.0,nan,nan,298.19328,3175.189,"same","C20H26O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",300.138,279000.0,nan,nan,300.13616,6.131,"same","C18H20O4",9.0,"(300.13616, 6.1)","('C18H20O4', 9.0)","{'CCC1=CC=C(OC=CC2=CC=C(O)C(OC)=C2)C(OC)=C1', 'C=CC1=CC(OC)=C(O)C(C2=C(O)C(OC)=CC(CC)=C2)=C1', 'CC=CC1=CC(OC)=C(O)C(C2=C(O)C(OC)=CC(C)=C2)=C1', 'OCCCC1=CC=C(OC(=CC2=CC=C(O)C=C2)CO)C=C1'}","[{'postulated structure'}, {'postulated structure'}, {'postulated structure'}, {'bo4 dimer'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",317.1396,346000.0,nan,nan,318.07395,-2937.524,"same","C16H14O7",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD20.csv",317.1473,291000.0,nan,nan,318.07395,-2913.316,"same","C16H14O7",10.0,"","","","","","","","","","","",""
