"M/Z","Intensity","Ret Time","Intensity Relative to Standard","Match MW","ppm Err","Parent formula","DBE","Match Type"
129.0699,224000.0,nan,nan,129.07043,-4.106,"C10H10",6.0,"-H"
139.0555,245000.0,nan,nan,139.05478,5.178,"C11H8",8.0,"-H"
140.0616,184000.0,nan,nan,140.0626,-7.14,"C11H8",8.0,"same"
141.0662,183000.0,nan,nan,140.0626,-7.14,"C11H8",8.0,"same"
141.0714,505000.0,nan,nan,141.07043,6.876,"C11H10",7.0,"-H"
153.0709,1200000.0,nan,nan,153.07043,3.07,"C12H10",8.0,"-H"
154.0776,233000.0,nan,nan,154.07825,-4.219,"C12H10",8.0,"same"
155.0496,177000.0,nan,nan,155.04969,-0.58,"C11H8O",8.0,"-H"
155.0876,127000.0,nan,nan,155.08608,9.801,"C12H12",7.0,"-H"
165.0717,2200000.0,nan,nan,165.07043,7.694,"C13H10",9.0,"-H"
166.0776,633000.0,nan,nan,166.07825,-3.914,"C13H10",9.0,"same"
167.081,204000.0,nan,nan,166.07825,-3.914,"C13H10",9.0,"same"
167.0866,525000.0,nan,nan,167.08608,3.112,"C13H12",8.0,"-H"
168.0591,618000.0,nan,nan,168.05751,9.461,"C12H8O",9.0,"same"
169.0627,293000.0,nan,nan,168.05751,9.461,"C12H8O",9.0,"same"
192.0927,162000.0,nan,nan,192.0939,-6.247,"C15H12",10.0,"same"
195.0825,619000.0,nan,nan,195.08099,7.74,"C14H12O",9.0,"-H"
196.0536,240000.0,nan,nan,196.05243,5.968,"C13H8O2",10.0,"same"
196.0903,154000.0,nan,nan,196.08882,7.548,"C14H12O",9.0,"same"
209.0619,161000.0,nan,nan,209.06025,7.892,"C14H10O2",10.0,"-H"
210.0672,127000.0,nan,nan,210.06808,-4.189,"C14H10O2",10.0,"same"
211.0749,181000.0,nan,nan,211.0759,-4.738,"C14H12O2",9.0,"-H"
212.0468,128000.0,nan,nan,212.04734,-2.547,"C13H8O3",10.0,"same"
223.0747,212000.0,nan,nan,223.0759,-5.379,"C15H12O2",10.0,"-H"
235.078,113000.0,nan,nan,235.0759,8.933,"C16H12O2",11.0,"-H"
