M/Z        Intensity  Ret Time  Rel Inten   Match MW  ppm Err   Parent     DBE Match Type
 129.0699     224000       nan        nan   129.0704     -4.1  C10H10      6.0 -H
 139.0555     245000       nan        nan   139.0548      5.2  C11H8       8.0 -H
 140.0616     184000       nan        nan   140.0626     -7.1  C11H8       8.0 same
 141.0662     183000       nan        nan   140.0626     -7.1  C11H8       8.0 same
 141.0714     505000       nan        nan   141.0704      6.9  C11H10      7.0 -H
 153.0709    1200000       nan        nan   153.0704      3.1  C12H10      8.0 -H
 154.0776     233000       nan        nan   154.0782     -4.2  C12H10      8.0 same
 155.0496     177000       nan        nan   155.0497     -0.6  C11H8O      8.0 -H
 155.0876     127000       nan        nan   155.0861      9.8  C12H12      7.0 -H
 165.0717    2200000       nan        nan   165.0704      7.7  C13H10      9.0 -H
 166.0776     633000       nan        nan   166.0782     -3.9  C13H10      9.0 same
 167.0810     204000       nan        nan   166.0782     -3.9  C13H10      9.0 same
 167.0866     525000       nan        nan   167.0861      3.1  C13H12      8.0 -H
 168.0591     618000       nan        nan   168.0575      9.5  C12H8O      9.0 same
 169.0627     293000       nan        nan   168.0575      9.5  C12H8O      9.0 same
 192.0927     162000       nan        nan   192.0939     -6.2  C15H12     10.0 same
 195.0825     619000       nan        nan   195.0810      7.7  C14H12O     9.0 -H
 196.0536     240000       nan        nan   196.0524      6.0  C13H8O2    10.0 same
 196.0903     154000       nan        nan   196.0888      7.5  C14H12O     9.0 same
 209.0619     161000       nan        nan   209.0602      7.9  C14H10O2   10.0 -H
 210.0672     127000       nan        nan   210.0681     -4.2  C14H10O2   10.0 same
 211.0749     181000       nan        nan   211.0759     -4.7  C14H12O2    9.0 -H
 212.0468     128000       nan        nan   212.0473     -2.5  C13H8O3    10.0 same
 223.0747     212000       nan        nan   223.0759     -5.4  C15H12O2   10.0 -H
 235.0780     113000       nan        nan   235.0759      8.9  C16H12O2   11.0 -H
