"source file","M/Z","Intensity","Ret Time","Intensity Relative to Standard","Closest matched MW","Error (ppm) to closest MW match","Closest match Type","Closest matched formula","Closest matched formula DBE","Molecular ion matching MWs","Molecular ion matching chemical formulas","Molecular ion matching SMILES","Molecular ion matching chemical names","Deprotonated matching MWs","Deprotonated matching chemical formulas","Deprotonated matching SMILES","Deprotonated matching chemical names","Protonated matching MWs","Protonated matching chemical formulas","Protonated matching SMILES","Protonated matching chemical names"
"DIMER-27-362DA-APPI363HCD50.csv",115.0534,212000.0,nan,nan,115.05478,-11.994,"-H","C9H8",6.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",115.0581,257000.0,nan,nan,115.05478,28.856,"-H","C9H8",6.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",127.0533,117000.0,nan,nan,127.05478,-11.649,"-H","C10H8",7.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",127.0583,131000.0,nan,nan,127.05478,27.705,"-H","C10H8",7.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",128.0596,193000.0,nan,nan,128.0626,-23.426,"same","C10H8",7.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",128.0646,368000.0,nan,nan,128.0626,15.617,"same","C10H8",7.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",128.0695,145000.0,nan,nan,128.0626,53.88,"same","C10H8",7.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",129.0699,224000.0,nan,nan,129.07043,-4.106,"-H","C10H10",6.0,"","","","","(129.07043, -4.1)","('C10H10', 6.0)","{'C1=CC2=CC=CC=C2CC1', 'C=CC1=CC(C=C)=CC=C1', 'C=CC=CC1=CC=CC=C1', 'C1=C2C=CC=CC2=CCC1'}","[{'1,2-dihydronaphthalene', 'dialin'}, {'1,3-divinylbenzene', '1,3-bis(ethenyl)benzene'}, {'vinyl styrene', 'buta-1,3-dienylbenzene'}, {'2,3-dihydronaphthalene'}]","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",129.0748,171000.0,nan,nan,129.07043,33.857,"-H","C10H10",6.0,"","","","","","","","","","","",""
"DIMER-27-362DA-APPI363HCD50.csv",139.0555,245000.0,nan,nan,139.05478,5.178,"-H","C11H8",8.0,"","","","","(139.05478, 5.2)","('C11H8', 8.0)","{'C1=CC2=C3C=CC=C3CC2=C1', 'C1=CC2=C(C=C3C=CC2=C3)C1', 'C1=CC2=CC=C3C=CC(=C1)C23', 'C1=C2CC(=C1)C1=CC=CC=C21'}","[{'7h-cyclopenta[a]pentalene'}, {'cyclopenta[ed]inden', 'tricyclo[6.2.1.02,6]undeca-1(11),2(6),3,7,9-pentaene'}, {'tricyclo[5.3.1.04,11]undeca-1(10),2,4,6,8-pentaene', '7bbetah-cyclopenta[cd]indene', '7bh-cyclopent[cd]indene'}, {'tricyclo[6.2.1.02,7]undeca-1(10),2,4,6,8-pentaene', '1,4-methanonaphthalene'}]","","","",""
