# Removed peaks with intensities less than 540000, which is 5.0% of the maximum intensity
"M/Z","INTENSITY","RETENTION TIME (MIN)"
235.0780,640000,nan
235.0981,571000,nan
235.1115,1120000,nan
235.1182,1160000,nan
248.0833,658000,nan
248.0902,636000,nan
263.1009,721000,nan
263.1080,8170000,nan
263.1151,5600000,nan
264.1078,829000,nan
264.1150,1790000,nan
264.1220,546000,nan
267.0974,1150000,nan
267.1045,5240000,nan
267.1116,3150000,nan
267.1188,1920000,nan
267.1402,575000,nan
267.1473,670000,nan
268.1047,680000,nan
268.1119,830000,nan
271.0951,1250000,nan
271.1023,2030000,nan
280.1146,540000,nan
281.1170,1400000,nan
281.1243,1500000,nan
285.1147,1000000,nan
285.1220,581000,nan
286.1185,603000,nan
286.1259,664000,nan
295.1274,995000,nan
295.1349,9100000,nan
295.1424,5300000,nan
296.1337,843000,nan
296.1412,2070000,nan
296.1487,729000,nan
299.1250,3230000,nan
299.1325,10800000,nan
299.1401,2340000,nan
300.1305,1260000,nan
300.1380,1620000,nan
312.1350,810000,nan
312.1427,986000,nan
313.1389,602000,nan
313.1466,1520000,nan
313.1544,644000,nan
317.1396,4880000,nan
317.1473,3780000,nan
318.1437,920000,nan
318.1515,660000,nan
327.1575,2150000,nan
327.1654,3580000,nan
327.1733,669000,nan
328.1695,621000,nan
345.1653,1130000,nan
345.1734,3950000,nan
345.1815,1540000,nan
346.1803,627000,nan
