"M/Z","Intensity","Ret Time","Intensity Relative to Standard","Match MW","ppm Err","Parent","DBE","Match Type"
248.0833,658000.0,nan,nan,248.08373,1.733,"C17H12O2",12.0,"same"
264.115,1790000.0,nan,nan,264.11503,0.114,"C18H16O2",11.0,"same"
268.1119,830000.0,nan,nan,268.10994,7.31,"C17H16O3",10.0,"same"
286.1185,603000.0,nan,nan,286.12051,7.025,"C17H18O4",9.0,"same"
296.1412,2070000.0,nan,nan,296.14124,0.135,"C19H20O3",10.0,"same"
300.138,1620000.0,nan,nan,300.13616,6.131,"C18H20O4",9.0,"same"
312.135,810000.0,nan,nan,312.13616,3.716,"C19H20O4",10.0,"same"
313.1389,602000.0,nan,nan,312.13616,3.716,"C19H20O4",10.0,"same"
318.1437,920000.0,nan,nan,318.14672,9.492,"C18H22O5",8.0,"same"
328.1695,621000.0,nan,nan,328.16746,6.216,"C20H24O4",9.0,"same"
346.1803,627000.0,nan,nan,346.17802,6.586,"C20H26O5",8.0,"same"
