"source file","M/Z","Intensity","Ret Time","Intensity Relative to Standard","Closest matched MW","Error (ppm) to closest MW match","Closest match Type","Closest matched formula","Closest matched formula DBE","Molecular ion matching MWs","Molecular ion matching chemical formulas","Molecular ion matching SMILES","Molecular ion matching chemical names","Deprotonated matching MWs","Deprotonated matching chemical formulas","Deprotonated matching SMILES","Deprotonated matching chemical names","Deprotonated matching MWs","Protonated matching chemical formulas","Protonated matching SMILES","Protonated matching chemical names"
"DIMER_27_362DA_APPI_363HCD10.csv",235.078,640000.0,nan,nan,234.14085,4002.505,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",235.0981,571000.0,nan,nan,234.14085,4088.351,"same","C18H18",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",235.1115,1120000.0,nan,nan,236.06847,4053.782,"same","C12H12O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",235.1182,1160000.0,nan,nan,236.06847,4025.4,"same","C12H12O5",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",248.0833,658000.0,nan,nan,248.08373,1.733,"same","C17H12O2",12.0,"(248.08373, 1.7)","('C17H12O2', 12.0)","{'C=CC1=CC=CC(C2=CC3=CC=COC3=CC2=O)=C1', 'C=CC1=CC=C(O)C(C2=CC3=CC=CC3=CC2=O)=C1'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",248.0902,636000.0,nan,nan,248.08373,26.08,"same","C17H12O2",12.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",263.1009,721000.0,nan,nan,264.07864,3702.458,"same","C17H12O3",12.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",263.108,8170000.0,nan,nan,264.07864,3675.572,"same","C17H12O3",12.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",263.1151,5600000.0,nan,nan,264.07864,3648.686,"same","C17H12O3",12.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",264.1078,829000.0,nan,nan,264.11503,27.374,"same","C18H16O2",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",264.115,1790000.0,nan,nan,264.11503,0.114,"same","C18H16O2",11.0,"(264.11503, 0.1)","('C18H16O2', 11.0)","{'CC1C(=C2C=CC(=O)C=C2)OC2=C1C=C1CCCC1=C2', 'CC(=CC1=CC=C(O)C=C1)C1=C(O)C=CC2=C1C=CC2'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",264.122,546000.0,nan,nan,264.11503,26.39,"same","C18H16O2",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",267.0974,1150000.0,nan,nan,266.26097,3141.392,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",267.1045,5240000.0,nan,nan,266.26097,3168.057,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",267.1116,3150000.0,nan,nan,266.26097,3194.723,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",267.1188,1920000.0,nan,nan,266.26097,3221.764,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",267.1402,575000.0,nan,nan,266.26097,3302.136,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",267.1473,670000.0,nan,nan,266.26097,3328.802,"same","C18H34O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",268.1047,680000.0,nan,nan,268.10994,19.544,"same","C17H16O3",10.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",268.1119,830000.0,nan,nan,268.10994,7.31,"same","C17H16O3",10.0,"(268.10994, 7.3)","('C17H16O3', 10.0)","{'OC1=CC=C(C2CC3=C(C=C4OCCCC4=C3)O2)C=C1', 'OCC=CC1=CC2=C(C=C1)OC(C1=CC=C(O)C=C1)C2'}","[{'postulated structure'}, {'postulated structure'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",271.0951,1250000.0,nan,nan,270.16198,3453.928,"same","C18H22O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",271.1023,2030000.0,nan,nan,270.16198,3480.579,"same","C18H22O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",280.1146,540000.0,nan,nan,280.10994,16.636,"same","C18H16O3",11.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",281.117,1400000.0,nan,nan,280.27662,2998.395,"same","C19H36O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",281.1243,1500000.0,nan,nan,280.27662,3024.441,"same","C19H36O",2.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",285.1147,1000000.0,nan,nan,284.17763,3297.48,"same","C19H24O2",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD10.csv",285.122,581000.0,nan,nan,284.17763,3323.168,"same","C19H24O2",8.0,"","","","","","","","","","","",""
