"M/Z","Intensity","Ret Time","Intensity Relative to Standard","Match MW","ppm Err","Parent formula","DBE","Match Type"
154.0776,167000.0,nan,nan,154.07825,-4.219,"C12H10",8.0,"same"
166.0776,535000.0,nan,nan,166.07825,-3.914,"C13H10",9.0,"same"
167.081,205000.0,nan,nan,166.07825,-3.914,"C13H10",9.0,"same"
168.0591,448000.0,nan,nan,168.05751,9.461,"C12H8O",9.0,"same"
168.093,138000.0,nan,nan,168.0939,-5.354,"C13H12",8.0,"same"
169.0627,219000.0,nan,nan,168.05751,9.461,"C12H8O",9.0,"same"
180.0949,198000.0,nan,nan,180.0939,5.553,"C14H12",9.0,"same"
192.0927,355000.0,nan,nan,192.0939,-6.247,"C15H12",10.0,"same"
196.0536,418000.0,nan,nan,196.05243,5.968,"C13H8O2",10.0,"same"
196.0719,135000.0,nan,nan,196.07356,-8.466,"C10H12O4",5.0,"same"
196.0903,473000.0,nan,nan,196.08882,7.548,"C14H12O",9.0,"same"
197.0578,345000.0,nan,nan,196.05243,5.968,"C13H8O2",10.0,"same"
197.0946,103000.0,nan,nan,196.08882,7.548,"C14H12O",9.0,"same"
208.0905,248000.0,nan,nan,208.08882,8.073,"C15H12O",10.0,"same"
209.0935,152000.0,nan,nan,208.08882,8.073,"C15H12O",10.0,"same"
210.0672,296000.0,nan,nan,210.06808,-4.189,"C14H10O2",10.0,"same"
211.0685,130000.0,nan,nan,210.06808,-4.189,"C14H10O2",10.0,"same"
212.0468,124000.0,nan,nan,212.04734,-2.547,"C13H8O3",10.0,"same"
212.085,148000.0,nan,nan,212.08373,5.988,"C14H12O2",9.0,"same"
228.0796,92900.0,nan,nan,228.07864,4.209,"C14H12O3",9.0,"same"
234.068,157000.0,nan,nan,234.06808,-0.342,"C16H10O2",12.0,"same"
236.0836,123000.0,nan,nan,236.08373,-0.551,"C16H12O2",11.0,"same"
238.101,101000.0,nan,nan,238.09938,6.804,"C16H14O2",10.0,"same"
240.0797,129000.0,nan,nan,240.07864,4.415,"C15H12O3",10.0,"same"
241.0823,98500.0,nan,nan,240.07864,4.415,"C15H12O3",10.0,"same"
242.0598,106000.0,nan,nan,242.05791,7.808,"C14H10O4",10.0,"same"
