"source file","M/Z","Intensity","Ret Time","Intensity Relative to Standard","Closest matched MW","Error (ppm) to closest MW match","Closest match Type","Closest matched formula","Closest matched formula DBE","Molecular ion matching MWs","Molecular ion matching chemical formulas","Molecular ion matching SMILES","Molecular ion matching chemical names","Deprotonated matching MWs","Deprotonated matching chemical formulas","Deprotonated matching SMILES","Deprotonated matching chemical names","Protonated matching MWs","Protonated matching chemical formulas","Protonated matching SMILES","Protonated matching chemical names"
"DIMER_27_362DA_APPI_363HCD40.csv",115.0581,89900.0,nan,nan,114.10447,8357.517,"same","C7H14O",1.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",128.0646,107000.0,nan,nan,128.0626,15.617,"same","C10H8",7.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",129.0699,112000.0,nan,nan,128.1565,7127.223,"same","C9H20",0.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",129.0748,93500.0,nan,nan,128.1565,7165.458,"same","C9H20",0.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",141.0662,98600.0,nan,nan,140.1565,6490.602,"same","C10H20",1.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",141.0714,233000.0,nan,nan,140.1565,6527.703,"same","C10H20",1.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",141.0766,134000.0,nan,nan,140.1565,6564.804,"same","C10H20",1.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",152.0567,98800.0,nan,nan,152.04734,61.56,"same","C8H8O3",5.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",152.0621,409000.0,nan,nan,152.04734,97.075,"same","C8H8O3",5.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",152.0675,348000.0,nan,nan,152.08373,-106.718,"same","C9H12O2",4.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",153.0655,218000.0,nan,nan,154.02661,-6239.896,"same","C7H6O4",5.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",153.0709,722000.0,nan,nan,154.02661,-6204.837,"same","C7H6O4",5.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",153.0763,435000.0,nan,nan,154.02661,-6169.778,"same","C7H6O4",5.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",154.0776,167000.0,nan,nan,154.07825,-4.219,"same","C12H10",8.0,"(154.07825, -4.2)","('C12H10', 8.0)","{'C1=CC=C(C2=CC=CC=C2)C=C1', 'C1=CC2=C3C(=C1)CCC3=CC=C2'}","[{""1,1'-biphenyl""}, {'acenaphthene', '1,2-dihydroacenaphthylene'}]","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",154.0831,102000.0,nan,nan,154.07825,31.478,"same","C12H10",8.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",155.0876,142000.0,nan,nan,156.04226,-6117.958,"same","C7H8O4",4.0,"","","","","","","","","","","",""
"DIMER_27_362DA_APPI_363HCD40.csv",157.0683,102000.0,nan,nan,156.11503,6106.203,"same","C9H16O2",2.0,"","","","","","","","","","","",""
