M/Z,INTENSITY
50.0073,0.00E+00
50.0104,2.70E+01
50.0134,6.00E+00
50.0165,6.00E+00
50.0196,9.00E+00
50.0227,0.00E+00
50.3848,0.00E+00
50.3879,9.00E+00
50.391,4.00E+00
50.3941,0.00E+00
50.7015,0.00E+00
50.7046,1.20E+01
50.7077,2.10E+01
50.7108,0.00E+00
51.0098,0.00E+00
51.0129,2.10E+01
51.0161,1.70E+01
51.0192,1.32E+02
51.0223,3.02E+02
51.0254,2.63E+02
51.0285,1.13E+02
51.0317,2.10E+01
51.0348,0.00E+00
51.4851,0.00E+00
51.4882,3.00E+01
51.4913,3.90E+01
51.4945,0.00E+00
51.7549,0.00E+00
51.7581,2.00E+01
51.7612,2.00E+00
51.7644,0.00E+00
51.7706,0.00E+00
51.7738,1.00E+01
51.7769,7.00E+00
51.7801,0.00E+00
51.865,0.00E+00
51.8681,6.00E+00
51.8712,2.30E+01
51.8744,0.00E+00
52.0223,0.00E+00
52.0255,1.70E+01
52.0286,3.70E+01
52.0318,2.50E+01
52.0349,4.10E+01
52.0381,3.50E+01
52.0412,0.00E+00
52.2652,0.00E+00
52.2683,2.00E+00
52.2715,2.60E+01
52.2747,0.00E+00
52.4801,0.00E+00
52.4833,8.00E+00
52.4864,3.10E+01
52.4896,0.00E+00
52.5212,0.00E+00
52.5244,1.10E+01
52.5276,8.00E+00
52.5307,0.00E+00
52.6416,0.00E+00
52.6448,9.00E+00
52.6479,4.00E+00
52.6511,0.00E+00
52.9939,0.00E+00
52.9971,5.00E+00
53.0003,1.07E+02
53.0035,1.86E+02
53.0066,8.80E+01
53.0098,5.00E+00
53.013,0.00E+00
53.0289,0.00E+00
53.0321,1.10E+01
53.0353,1.53E+02
53.0384,5.91E+02
53.0416,7.64E+02
53.0448,2.28E+02
53.048,0.00E+00
53.571,0.00E+00
53.5742,1.20E+01
53.5773,3.00E+00
53.5805,0.00E+00
54.0387,0.00E+00
54.0419,7.00E+00
54.0451,1.00E+01
54.0483,0.00E+00
54.1415,0.00E+00
54.1447,2.60E+01
54.1479,1.40E+01
54.1511,0.00E+00
54.1897,0.00E+00
