M/Z,INTENSITY
50.0165,0.00E+00
50.0196,2.00E+00
50.0227,2.90E+01
50.0258,0.00E+00
50.1154,0.00E+00
50.1185,4.00E+01
50.1216,0.00E+00
50.2299,0.00E+00
50.233,8.00E+00
50.2361,1.10E+01
50.2392,0.00E+00
50.3042,0.00E+00
50.3073,8.00E+00
50.3104,1.20E+01
50.3135,0.00E+00
50.3197,0.00E+00
50.3228,1.00E+01
50.3259,7.00E+00
50.329,0.00E+00
50.3445,0.00E+00
50.3476,1.20E+01
50.3507,1.00E+01
50.3538,0.00E+00
50.4127,0.00E+00
50.4158,5.00E+00
50.4189,1.90E+01
50.422,0.00E+00
50.4902,0.00E+00
50.4933,9.00E+00
50.4964,4.00E+00
50.4995,0.00E+00
50.5865,0.00E+00
50.5896,1.10E+01
50.5927,5.00E+00
50.5958,0.00E+00
50.7886,0.00E+00
50.7917,9.00E+00
50.7948,9.00E+00
50.7979,0.00E+00
50.8914,0.00E+00
50.8945,6.00E+00
50.8976,2.30E+01
50.9007,0.00E+00
50.988,0.00E+00
50.9911,8.00E+00
50.9942,8.00E+00
50.9973,0.00E+00
51.0535,0.00E+00
51.0566,2.00E+01
51.0597,5.00E+00
51.0629,0.00E+00
51.6952,0.00E+00
51.6984,5.00E+00
51.7015,3.80E+01
51.7047,0.00E+00
51.7769,0.00E+00
51.7801,9.00E+00
51.7832,4.00E+00
51.7864,0.00E+00
51.8587,0.00E+00
51.8618,2.30E+01
51.865,2.00E+00
51.8681,0.00E+00
51.887,0.00E+00
51.8901,3.00E+00
51.8933,4.00E+01
51.8964,0.00E+00
52.7335,0.00E+00
52.7367,9.00E+00
52.7399,9.00E+00
52.743,0.00E+00
52.978,0.00E+00
52.9812,1.10E+01
52.9844,7.00E+00
52.9876,0.00E+00
53.0321,0.00E+00
53.0353,1.60E+01
53.0384,1.00E+01
53.0416,1.50E+01
53.0448,2.20E+01
53.048,1.90E+01
53.0512,2.00E+00
53.0544,0.00E+00
53.1244,0.00E+00
53.1275,2.00E+01
53.1307,2.00E+00
53.1339,0.00E+00
53.2167,0.00E+00
53.2199,1.60E+01
53.2231,1.40E+01
53.2263,0.00E+00
53.2773,0.00E+00
53.2805,1.80E+01
53.2836,1.40E+01
53.2868,7.00E+00
53.29,0.00E+00
53.5742,0.00E+00
53.5773,4.00E+00
53.5805,1.10E+01
53.5837,0.00E+00
53.5997,0.00E+00
53.6029,1.90E+01
53.6061,0.00E+00
53.6189,0.00E+00
53.6221,5.00E+00
53.6253,3.80E+01
53.6285,4.00E+00
53.6317,1.90E+01
53.6349,0.00E+00
54.0291,0.00E+00
54.0323,5.00E+00
54.0355,2.10E+01
54.0387,0.00E+00
54.0419,3.50E+01
54.0451,1.90E+01
54.0483,0.00E+00
54.2508,0.00E+00
54.254,4.00E+00
54.2572,3.40E+01
54.2604,0.00E+00
54.2637,0.00E+00
54.2669,5.00E+00
54.2701,1.10E+01
54.2733,0.00E+00
54.2797,0.00E+00
54.283,1.10E+01
54.2862,8.00E+00
54.2894,0.00E+00
54.7506,0.00E+00
54.7538,1.40E+01
54.757,0.00E+00
55.0094,0.00E+00
55.0126,2.40E+01
55.0159,1.51E+02
55.0191,2.59E+02
55.0224,2.52E+02
55.0256,8.20E+01
55.0288,6.00E+00
55.0321,0.00E+00
55.0483,0.00E+00
55.0515,1.40E+01
55.0548,3.90E+01
55.058,5.30E+01
55.0612,6.00E+00
55.0645,0.00E+00
55.1326,0.00E+00
55.1358,2.70E+01
55.139,3.00E+00
55.1423,0.00E+00
55.152,0.00E+00
55.1553,1.80E+01
55.1585,2.00E+00
55.1617,0.00E+00
55.3338,0.00E+00
55.337,3.10E+01
55.3403,1.00E+00
55.3435,4.00E+00
55.3468,9.00E+00
55.35,0.00E+00
55.3533,0.00E+00
55.3565,1.00E+01
55.3598,7.00E+00
55.363,0.00E+00
55.3988,0.00E+00
55.402,8.00E+00
55.4053,2.00E+01
55.4085,0.00E+00
55.5452,0.00E+00
55.5484,2.00E+00
55.5517,1.90E+01
55.5549,2.30E+01
55.5582,0.00E+00
55.5842,0.00E+00
55.5875,5.00E+00
55.5908,1.20E+01
55.594,1.30E+01
55.5973,8.00E+00
